fiber	n	d	status	jacobian_order
t1_2	0	1	boundary	0
t1_2	1	1	boundary	0
t1_2	4	1	good_allowed	10752
t1_2	7	1	boundary	0
t1_2	8	1	good_allowed	10752
t1_2	11	1	good_allowed	13440
t1_2	12	1	good_allowed	13440
t1_2	13	1	good_allowed	10752
t1_2	14	1	good_allowed	10752
t1_2	15	1	good_allowed	10752
t1_2	16	1	good_allowed	10752
t1_2	17	1	good_allowed	10752
t1_2	19	1	good_allowed	13440
t1_2	21	1	good_allowed	13440
t1_2	26	1	good_allowed	10752
t1_2	34	1	good_allowed	10752
t1_2	35	1	good_allowed	10752
t1_2	38	1	good_allowed	13440
t1_2	43	1	good_allowed	13440
t1_2	45	1	good_allowed	13440
t1_2	47	1	good_allowed	10752
t1_2	50	1	boundary	0
t1_2	53	1	good_allowed	10752
t1_2	54	1	good_allowed	13440
t1_2	55	1	good_allowed	10752
t1_2	57	1	good_allowed	10752
t1_2	58	1	good_allowed	10752
t1_2	59	1	boundary	0
t1_2	64	1	good_allowed	10752
t1_2	65	1	good_allowed	13440
t1_2	66	1	good_allowed	10752
t1_2	68	1	boundary	0
t1_2	70	1	good_allowed	10752
t1_2	75	1	good_allowed	13440
t1_2	77	1	good_allowed	13440
t1_2	78	1	good_allowed	10752
t1_2	80	1	good_allowed	10752
t1_2	81	1	good_allowed	10752
t1_2	84	1	good_allowed	13440
t1_2	87	1	good_allowed	13440
t1_2	90	1	good_allowed	13440
t1_2	94	1	good_allowed	10752
t1_2	95	1	good_allowed	13440
t1_2	97	1	good_allowed	10752
t1_2	99	1	good_allowed	13440
t1_2	100	1	good_allowed	10752
t1_2	102	1	boundary	0
t1_2	1	0	boundary	0
t2_3	0	1	boundary	0
t2_3	1	1	boundary	0
t2_3	4	1	good_allowed	13440
t2_3	6	1	good_allowed	13440
t2_3	7	1	good_allowed	10752
t2_3	8	1	good_allowed	13440
t2_3	9	1	good_allowed	10752
t2_3	12	1	good_allowed	10752
t2_3	13	1	good_allowed	13440
t2_3	14	1	boundary	0
t2_3	16	1	good_allowed	10752
t2_3	19	1	good_allowed	13440
t2_3	21	1	good_allowed	13440
t2_3	23	1	good_allowed	10752
t2_3	25	1	good_allowed	13440
t2_3	26	1	good_allowed	13440
t2_3	27	1	good_allowed	10752
t2_3	29	1	good_allowed	10752
t2_3	32	1	good_allowed	10752
t2_3	33	1	good_allowed	13440
t2_3	35	1	good_allowed	13440
t2_3	36	1	good_allowed	10752
t2_3	38	1	good_allowed	13440
t2_3	42	1	good_allowed	10752
t2_3	43	1	good_allowed	10752
t2_3	45	1	good_allowed	10752
t2_3	46	1	good_allowed	13440
t2_3	49	1	boundary	0
t2_3	53	1	good_allowed	13440
t2_3	54	1	good_allowed	13440
t2_3	56	1	good_allowed	13440
t2_3	58	1	good_allowed	10752
t2_3	59	1	good_allowed	10752
t2_3	60	1	good_allowed	10752
t2_3	65	1	good_allowed	10752
t2_3	70	1	good_allowed	10752
t2_3	71	1	good_allowed	10752
t2_3	74	1	good_allowed	10752
t2_3	78	1	good_allowed	10752
t2_3	81	1	boundary	0
t2_3	82	1	boundary	0
t2_3	83	1	good_allowed	10752
t2_3	84	1	good_allowed	10752
t2_3	86	1	good_allowed	13440
t2_3	87	1	good_allowed	10752
t2_3	91	1	good_allowed	10752
t2_3	102	1	boundary	0
t2_3	1	0	boundary	0
