a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	3	6	16	9	15	4	7	11	6
1	2	6	3	16	9	15	4	7	11	6
1	2	6	12	15	2	1	13	8	5	12
1	2	12	6	15	2	1	13	8	5	12
1	3	2	6	16	9	15	4	7	11	6
1	3	6	2	16	9	15	4	7	11	6
1	3	6	9	8	15	4	13	4	14	3
1	3	9	6	8	15	4	13	4	14	3
1	3	9	10	4	8	9	4	5	7	10
1	3	10	9	4	8	9	4	5	7	10
1	4	10	14	7	15	10	1	6	9	4
1	4	14	10	7	15	10	1	6	9	4
1	6	2	3	16	9	15	4	7	11	6
1	6	2	12	15	2	1	13	8	5	12
1	6	3	2	16	9	15	4	7	11	6
1	6	3	9	8	15	4	13	4	14	3
1	6	9	3	8	15	4	13	4	14	3
1	6	12	2	15	2	1	13	8	5	12
1	8	10	11	14	9	12	16	2	1	8
1	8	11	10	14	9	12	16	2	1	8
1	9	3	6	8	15	4	13	4	14	3
1	9	3	10	4	8	9	4	5	7	10
1	9	6	3	8	15	4	13	4	14	3
1	9	10	3	4	8	9	4	5	7	10
1	10	3	9	4	8	9	4	5	7	10
1	10	4	14	7	15	10	1	6	9	4
1	10	8	11	14	9	12	16	2	1	8
1	10	9	3	4	8	9	4	5	7	10
1	10	11	8	14	9	12	16	2	1	8
1	10	14	4	7	15	10	1	6	9	4
1	11	8	10	14	9	12	16	2	1	8
1	11	10	8	14	9	12	16	2	1	8
1	11	12	13	10	15	7	1	7	8	13
1	11	13	12	10	15	7	1	7	8	13
1	12	2	6	15	2	1	13	8	5	12
1	12	6	2	15	2	1	13	8	5	12
1	12	11	13	10	15	7	1	7	8	13
1	12	13	11	10	15	7	1	7	8	13
1	12	14	15	5	8	3	16	4	4	15
1	12	15	14	5	8	3	16	4	4	15
1	13	11	12	10	15	7	1	7	8	13
1	13	12	11	10	15	7	1	7	8	13
1	14	4	10	7	15	10	1	6	9	4
1	14	10	4	7	15	10	1	6	9	4
1	14	12	15	5	8	3	16	4	4	15
1	14	15	12	5	8	3	16	4	4	15
1	15	12	14	5	8	3	16	4	4	15
1	15	14	12	5	8	3	16	4	4	15
