Loading "code/blp22_locus_rm_test2.m0"
SELFTEST_PASS (mod-p order-11 points exist on slice 2: 9 found)
PARAM_VALUES 319 (H=16)
PROGRESS fibers=2375 hits=0
PROGRESS fibers=2400 hits=0
PROGRESS fibers=2425 hits=0
PROGRESS fibers=2450 hits=0
PROGRESS fibers=2475 hits=0
PROGRESS fibers=2500 hits=0
PROGRESS fibers=2525 hits=0
PROGRESS fibers=2550 hits=0
PROGRESS fibers=2575 hits=0
PROGRESS fibers=2600 hits=0
PROGRESS fibers=2625 hits=0
PROGRESS fibers=2650 hits=0
PROGRESS fibers=2675 hits=0
PROGRESS fibers=2700 hits=0
PROGRESS fibers=2725 hits=0
PROGRESS fibers=2750 hits=0
PROGRESS fibers=2775 hits=0
PROGRESS fibers=2800 hits=0
PROGRESS fibers=2825 hits=0
PROGRESS fibers=2850 hits=0
PROGRESS fibers=2875 hits=0
PROGRESS fibers=2900 hits=0
PROGRESS fibers=2925 hits=0
PROGRESS fibers=2950 hits=0
PROGRESS fibers=2975 hits=0
PROGRESS fibers=3000 hits=0
PROGRESS fibers=3025 hits=0
PROGRESS fibers=3050 hits=0
PROGRESS fibers=3075 hits=0
PROGRESS fibers=3100 hits=0
PROGRESS fibers=3125 hits=0
PROGRESS fibers=3150 hits=0
PROGRESS fibers=3175 hits=0
PROGRESS fibers=3200 hits=0
PROGRESS fibers=3225 hits=0
PROGRESS fibers=3250 hits=0
PROGRESS fibers=3275 hits=0
PROGRESS fibers=3300 hits=0
PROGRESS fibers=3325 hits=0
PROGRESS fibers=3350 hits=0
PROGRESS fibers=3375 hits=0
PROGRESS fibers=3400 hits=0
PROGRESS fibers=3425 hits=0
PROGRESS fibers=3450 hits=0
PROGRESS fibers=3475 hits=0
PROGRESS fibers=3500 hits=0
PROGRESS fibers=3525 hits=0
PROGRESS fibers=3550 hits=0
PROGRESS fibers=3575 hits=0
PROGRESS fibers=3600 hits=0
PROGRESS fibers=3625 hits=0
PROGRESS fibers=3650 hits=0
PROGRESS fibers=3675 hits=0
PROGRESS fibers=3700 hits=0
PROGRESS fibers=3725 hits=0
PROGRESS fibers=3750 hits=0
PROGRESS fibers=3775 hits=0
PROGRESS fibers=3800 hits=0
PROGRESS fibers=3825 hits=0
PROGRESS fibers=3850 hits=0
PROGRESS fibers=3875 hits=0
PROGRESS fibers=3900 hits=0
PROGRESS fibers=3925 hits=0
PROGRESS fibers=3950 hits=0
PROGRESS fibers=3975 hits=0
PROGRESS fibers=4000 hits=0
PROGRESS fibers=4025 hits=0
PROGRESS fibers=4050 hits=0
PROGRESS fibers=4075 hits=0
PROGRESS fibers=4100 hits=0
PROGRESS fibers=4125 hits=0
PROGRESS fibers=4150 hits=0
PROGRESS fibers=4175 hits=0
PROGRESS fibers=4200 hits=0
PROGRESS fibers=4225 hits=0
PROGRESS fibers=4250 hits=0
PROGRESS fibers=4275 hits=0
PROGRESS fibers=4300 hits=0
PROGRESS fibers=4325 hits=0
PROGRESS fibers=4350 hits=0
PROGRESS fibers=4375 hits=0
PROGRESS fibers=4400 hits=0
PROGRESS fibers=4425 hits=0
PROGRESS fibers=4450 hits=0
PROGRESS fibers=4475 hits=0
PROGRESS fibers=4500 hits=0
PROGRESS fibers=4525 hits=0
PROGRESS fibers=4550 hits=0
PROGRESS fibers=4575 hits=0
PROGRESS fibers=4600 hits=0
PROGRESS fibers=4625 hits=0
PROGRESS fibers=4650 hits=0
PROGRESS fibers=4675 hits=0
PROGRESS fibers=4700 hits=0
PROGRESS fibers=4725 hits=0
PROGRESS fibers=4750 hits=0
PROGRESS fibers=4775 hits=0
PROGRESS fibers=4800 hits=0
PROGRESS fibers=4825 hits=0
PROGRESS fibers=4850 hits=0
PROGRESS fibers=4875 hits=0
PROGRESS fibers=4900 hits=0
PROGRESS fibers=4925 hits=0
PROGRESS fibers=4950 hits=0
PROGRESS fibers=4975 hits=0
PROGRESS fibers=5000 hits=0
PROGRESS fibers=5025 hits=0
PROGRESS fibers=5050 hits=0
PROGRESS fibers=5075 hits=0
PROGRESS fibers=5100 hits=0
PROGRESS fibers=5125 hits=0
PROGRESS fibers=5150 hits=0
PROGRESS fibers=5175 hits=0
PROGRESS fibers=5200 hits=0
PROGRESS fibers=5225 hits=0
PROGRESS fibers=5250 hits=0
PROGRESS fibers=5275 hits=0
PROGRESS fibers=5300 hits=0
PROGRESS fibers=5325 hits=0
PROGRESS fibers=5350 hits=0
PROGRESS fibers=5375 hits=0
PROGRESS fibers=5400 hits=0
PROGRESS fibers=5425 hits=0
PROGRESS fibers=5450 hits=0
PROGRESS fibers=5475 hits=0
PROGRESS fibers=5500 hits=0
PROGRESS fibers=5525 hits=0
PROGRESS fibers=5550 hits=0
PROGRESS fibers=5575 hits=0
PROGRESS fibers=5600 hits=0
PROGRESS fibers=5625 hits=0
PROGRESS fibers=5650 hits=0
PROGRESS fibers=5675 hits=0
FAST_SWEEP_DONE H=16 Part=2/6 fibers=5678 hits=0
