family	n	d	parameter	status	jacobian_order
1	0	1	0	boundary	0
1	1	1	1	boundary	0
1	2	1	2	good_allowed	10368
1	4	1	4	good_allowed	10752
1	7	1	7	good_allowed	10368
1	8	1	8	good_allowed	11520
1	9	1	9	good_allowed	11520
1	10	1	10	good_allowed	11520
1	12	1	12	good_allowed	9024
1	20	1	20	good_allowed	10752
1	21	1	21	boundary	0
1	22	1	22	boundary	0
1	23	1	23	boundary	0
1	24	1	24	good_allowed	10752
1	29	1	29	good_allowed	10368
1	31	1	31	good_allowed	9024
1	32	1	32	good_allowed	9216
1	33	1	33	good_allowed	10368
1	37	1	37	good_allowed	10368
1	38	1	38	good_allowed	11520
1	39	1	39	good_allowed	10368
1	40	1	40	good_allowed	9216
1	41	1	41	good_allowed	9024
1	43	1	43	good_allowed	10368
1	44	1	44	good_allowed	11520
1	45	1	45	good_allowed	11520
1	47	1	47	good_allowed	10368
1	48	1	48	good_allowed	9216
1	49	1	49	good_allowed	10368
1	50	1	50	boundary	0
1	51	1	51	good_allowed	10368
1	52	1	52	good_allowed	9216
1	53	1	53	good_allowed	10368
1	55	1	55	good_allowed	11520
1	56	1	56	good_allowed	11520
1	57	1	57	good_allowed	10368
1	59	1	59	good_allowed	9024
1	60	1	60	good_allowed	9216
1	61	1	61	good_allowed	10368
1	62	1	62	good_allowed	11520
1	63	1	63	good_allowed	10368
1	67	1	67	good_allowed	10368
1	68	1	68	good_allowed	9216
1	69	1	69	good_allowed	9024
1	71	1	71	good_allowed	10368
1	76	1	76	good_allowed	10752
1	77	1	77	boundary	0
1	78	1	78	boundary	0
1	79	1	79	boundary	0
1	80	1	80	good_allowed	10752
1	88	1	88	good_allowed	9024
1	90	1	90	good_allowed	11520
1	91	1	91	good_allowed	11520
1	92	1	92	good_allowed	11520
1	93	1	93	good_allowed	10368
1	96	1	96	good_allowed	10752
1	98	1	98	good_allowed	10368
1	99	1	99	boundary	0
1	100	1	100	boundary	0
1	1	0	infinity	boundary	0
2	0	1	0	boundary	0
2	1	1	1	boundary	0
2	2	1	2	good_allowed	9216
2	10	1	10	boundary	0
2	11	1	11	good_allowed	11520
2	12	1	12	good_allowed	10752
2	14	1	14	good_allowed	9408
2	15	1	15	good_allowed	11136
2	21	1	21	good_allowed	11520
2	22	1	22	boundary	0
2	23	1	23	boundary	0
2	24	1	24	good_allowed	11520
2	27	1	27	good_allowed	11136
2	32	1	32	good_allowed	9216
2	36	1	36	good_allowed	9408
2	41	1	41	good_allowed	9216
2	42	1	42	good_allowed	10752
2	46	1	46	good_allowed	11520
2	50	1	50	good_allowed	9216
2	51	1	51	good_allowed	9216
2	55	1	55	good_allowed	11520
2	59	1	59	good_allowed	10752
2	60	1	60	good_allowed	9216
2	65	1	65	good_allowed	9408
2	69	1	69	good_allowed	9216
2	74	1	74	good_allowed	11136
2	77	1	77	good_allowed	11520
2	78	1	78	boundary	0
2	79	1	79	boundary	0
2	80	1	80	good_allowed	11520
2	86	1	86	good_allowed	11136
2	87	1	87	good_allowed	9408
2	89	1	89	good_allowed	10752
2	90	1	90	good_allowed	11520
2	91	1	91	boundary	0
2	99	1	99	good_allowed	9216
2	100	1	100	boundary	0
2	1	0	infinity	boundary	0
3	0	1	0	boundary	0
3	1	1	1	boundary	0
3	2	1	2	good_allowed	8448
3	3	1	3	good_allowed	8448
3	5	1	5	good_allowed	9984
3	6	1	6	good_allowed	9216
3	7	1	7	good_allowed	10752
3	8	1	8	good_allowed	9216
3	9	1	9	good_allowed	9216
3	10	1	10	boundary	0
3	11	1	11	good_allowed	9216
3	12	1	12	good_allowed	9216
3	13	1	13	good_allowed	9216
3	14	1	14	good_allowed	10752
3	16	1	16	good_allowed	9216
3	17	1	17	good_allowed	9216
3	18	1	18	good_allowed	9216
3	19	1	19	good_allowed	9216
3	20	1	20	good_allowed	9984
3	21	1	21	good_allowed	9216
3	22	1	22	good_allowed	11520
3	23	1	23	good_allowed	11520
3	24	1	24	good_allowed	9216
3	26	1	26	good_allowed	10752
3	28	1	28	good_allowed	9216
3	29	1	29	good_allowed	10752
3	31	1	31	good_allowed	9216
3	33	1	33	good_allowed	9984
3	34	1	34	good_allowed	8448
3	35	1	35	good_allowed	10752
3	36	1	36	good_allowed	10752
3	38	1	38	good_allowed	9216
3	39	1	39	good_allowed	9216
3	40	1	40	good_allowed	10752
3	42	1	42	good_allowed	9216
3	43	1	43	good_allowed	11520
3	44	1	44	good_allowed	9216
3	45	1	45	good_allowed	9216
3	46	1	46	good_allowed	9216
3	47	1	47	good_allowed	11520
3	48	1	48	good_allowed	10752
3	49	1	49	good_allowed	9984
3	50	1	50	good_allowed	8448
3	51	1	51	good_allowed	8448
3	52	1	52	good_allowed	9984
3	53	1	53	good_allowed	10752
3	54	1	54	good_allowed	11520
3	55	1	55	good_allowed	9216
3	56	1	56	good_allowed	9216
3	57	1	57	good_allowed	9216
3	58	1	58	good_allowed	11520
3	59	1	59	good_allowed	9216
3	61	1	61	good_allowed	10752
3	62	1	62	good_allowed	9216
3	63	1	63	good_allowed	9216
3	65	1	65	good_allowed	10752
3	66	1	66	good_allowed	10752
3	67	1	67	good_allowed	8448
3	68	1	68	good_allowed	9984
3	70	1	70	good_allowed	9216
3	72	1	72	good_allowed	10752
3	73	1	73	good_allowed	9216
3	75	1	75	good_allowed	10752
