family	n	d	parameter	status	jacobian_order
1	0	1	0	boundary	0
1	1	1	1	boundary	0
1	4	1	4	good_allowed	4608
1	7	1	7	good_allowed	4032
1	8	1	8	good_allowed	3264
1	12	1	12	good_allowed	4608
1	13	1	13	boundary	0
1	14	1	14	good_allowed	4608
1	16	1	16	boundary	0
1	17	1	17	boundary	0
1	18	1	18	boundary	0
1	22	1	22	good_allowed	4032
1	23	1	23	good_allowed	3264
1	25	1	25	good_allowed	4032
1	27	1	27	good_allowed	3264
1	30	1	30	boundary	0
1	33	1	33	good_allowed	3264
1	35	1	35	good_allowed	4032
1	37	1	37	good_allowed	3264
1	38	1	38	good_allowed	4032
1	42	1	42	boundary	0
1	43	1	43	boundary	0
1	44	1	44	boundary	0
1	46	1	46	good_allowed	4608
1	47	1	47	boundary	0
1	48	1	48	good_allowed	4608
1	52	1	52	good_allowed	3264
1	53	1	53	good_allowed	4032
1	56	1	56	good_allowed	4608
1	59	1	59	boundary	0
1	60	1	60	boundary	0
1	1	0	infinity	boundary	0
2	0	1	0	boundary	0
2	1	1	1	boundary	0
2	2	1	2	good_allowed	4224
2	4	1	4	good_allowed	4032
2	5	1	5	good_allowed	4032
2	9	1	9	good_allowed	3456
2	11	1	11	boundary	0
2	12	1	12	good_allowed	4032
2	13	1	13	boundary	0
2	14	1	14	boundary	0
2	15	1	15	good_allowed	4032
2	17	1	17	boundary	0
2	18	1	18	boundary	0
2	21	1	21	boundary	0
2	27	1	27	good_allowed	3456
2	29	1	29	boundary	0
2	30	1	30	good_allowed	4224
2	31	1	31	good_allowed	4224
2	32	1	32	boundary	0
2	34	1	34	good_allowed	3456
2	40	1	40	boundary	0
2	43	1	43	boundary	0
2	44	1	44	boundary	0
2	46	1	46	good_allowed	4032
2	47	1	47	boundary	0
2	48	1	48	boundary	0
2	49	1	49	good_allowed	4032
2	50	1	50	boundary	0
2	52	1	52	good_allowed	3456
2	56	1	56	good_allowed	4032
2	57	1	57	good_allowed	4032
2	59	1	59	good_allowed	4224
2	60	1	60	boundary	0
2	1	0	infinity	boundary	0
3	0	1	0	boundary	0
3	1	1	1	boundary	0
3	2	1	2	good_allowed	3072
3	3	1	3	good_allowed	3072
3	4	1	4	good_allowed	3072
3	9	1	9	good_allowed	4608
3	11	1	11	boundary	0
3	13	1	13	good_allowed	4608
3	14	1	14	good_allowed	4608
3	15	1	15	good_allowed	3072
3	20	1	20	good_allowed	3072
3	22	1	22	good_allowed	3072
3	25	1	25	good_allowed	3072
3	27	1	27	good_allowed	4608
3	30	1	30	good_allowed	3072
3	31	1	31	good_allowed	3072
3	34	1	34	good_allowed	4608
3	36	1	36	good_allowed	3072
3	39	1	39	good_allowed	3072
3	41	1	41	good_allowed	3072
3	46	1	46	good_allowed	3072
3	47	1	47	good_allowed	4608
3	48	1	48	good_allowed	4608
3	50	1	50	boundary	0
3	52	1	52	good_allowed	4608
3	57	1	57	good_allowed	3072
3	58	1	58	good_allowed	3072
3	59	1	59	good_allowed	3072
3	60	1	60	boundary	0
3	1	0	infinity	boundary	0
