collision	linear_sign	A	B	C	rho	sigma	D	K_A	K_B	K_C	K_D	leg_A	leg_B	leg_C	leg_D	status	normalized_collision_constants	constant_legendres
BD	-	12	30	18	30	30	1	20	0	14	0	1	0	1	0	deep_zero_factor	16,16	1,1
BD	+	13	1	12	1	1	1	26	23	15	23	-1	-1	-1	-1	dead_nonsquare_unit		
BD	-	13	1	12	1	30	30	9	0	27	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	13	1	12	30	1	30	9	0	27	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	13	1	12	30	30	1	26	23	15	23	-1	-1	-1	-1	dead_nonsquare_unit		
CD	+	13	12	1	1	1	1	26	15	23	23	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	13	12	1	1	30	30	9	27	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	13	12	1	30	1	30	9	27	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	13	12	1	30	30	1	26	15	23	23	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	13	19	30	1	1	1	14	20	0	0	1	1	0	0	deep_zero_factor	15,15	-1,-1
CD	+	13	19	30	1	30	30	12	18	29	29	-1	1	-1	-1	dead_nonsquare_unit		
CD	+	13	19	30	30	1	30	12	18	29	29	-1	1	-1	-1	dead_nonsquare_unit		
CD	-	13	19	30	30	30	1	14	20	0	0	1	1	0	0	deep_zero_factor	15,15	-1,-1
BD	-	13	30	19	1	1	1	14	0	20	0	1	0	1	0	deep_zero_factor	15,15	-1,-1
BD	+	13	30	19	1	30	30	12	29	18	29	-1	-1	1	-1	dead_nonsquare_unit		
BD	+	13	30	19	30	1	30	12	29	18	29	-1	-1	1	-1	dead_nonsquare_unit		
BD	-	13	30	19	30	30	1	14	0	20	0	1	0	1	0	deep_zero_factor	15,15	-1,-1
BD	+	14	1	20	6	6	1	26	10	17	10	-1	1	-1	1	dead_nonsquare_unit		
BD	-	14	1	20	6	25	30	6	0	8	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	14	1	20	25	6	30	6	0	8	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	14	1	20	25	25	1	26	10	17	10	-1	1	-1	1	dead_nonsquare_unit		
CD	-	14	11	30	6	6	1	19	16	0	0	1	1	0	0	deep_zero_factor	13,13	-1,-1
CD	+	14	11	30	6	25	30	2	3	12	12	1	-1	-1	-1	dead_nonsquare_unit		
CD	+	14	11	30	25	6	30	2	3	12	12	1	-1	-1	-1	dead_nonsquare_unit		
CD	-	14	11	30	25	25	1	19	16	0	0	1	1	0	0	deep_zero_factor	13,13	-1,-1
CD	+	14	20	1	6	6	1	26	17	10	10	-1	-1	1	1	dead_nonsquare_unit		
CD	-	14	20	1	6	25	30	6	8	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	14	20	1	25	6	30	6	8	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	14	20	1	25	25	1	26	17	10	10	-1	-1	1	1	dead_nonsquare_unit		
BD	-	14	30	11	6	6	1	19	0	16	0	1	0	1	0	deep_zero_factor	13,13	-1,-1
BD	+	14	30	11	6	25	30	2	12	3	12	1	-1	-1	-1	dead_nonsquare_unit		
BD	+	14	30	11	25	6	30	2	12	3	12	1	-1	-1	-1	dead_nonsquare_unit		
BD	-	14	30	11	25	25	1	19	0	16	0	1	0	1	0	deep_zero_factor	13,13	-1,-1
BD	+	15	1	29	14	14	1	10	30	5	30	1	-1	1	-1	dead_nonsquare_unit		
BD	-	15	1	29	14	17	30	1	0	15	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	15	1	29	17	14	30	1	0	15	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	15	1	29	17	17	1	10	30	5	30	1	-1	1	-1	dead_nonsquare_unit		
CD	-	15	2	30	14	14	1	18	9	0	0	1	1	0	0	deep_zero_factor	10,10	1,1
CD	+	15	2	30	14	17	30	8	3	28	28	1	-1	1	1	dead_nonsquare_unit		
CD	+	15	2	30	17	14	30	8	3	28	28	1	-1	1	1	dead_nonsquare_unit		
CD	-	15	2	30	17	17	1	18	9	0	0	1	1	0	0	deep_zero_factor	10,10	1,1
BC	-	15	8	23	3	8	13	9	0	0	28	1	0	0	1	deep_zero_factor	9,29	1,-1
BC	-	15	8	23	3	23	18	25	0	0	29	1	0	0	-1	dead_nonsquare_unit		
BC	-	15	8	23	28	8	18	25	0	0	29	1	0	0	-1	dead_nonsquare_unit		
BC	-	15	8	23	28	23	13	9	0	0	28	1	0	0	1	deep_zero_factor	9,29	1,-1
BC	-	15	23	8	3	8	13	9	0	0	28	1	0	0	1	deep_zero_factor	2,22	1,-1
BC	-	15	23	8	3	23	18	25	0	0	29	1	0	0	-1	dead_nonsquare_unit		
BC	-	15	23	8	28	8	18	25	0	0	29	1	0	0	-1	dead_nonsquare_unit		
BC	-	15	23	8	28	23	13	9	0	0	28	1	0	0	1	deep_zero_factor	2,22	1,-1
CD	+	15	29	1	14	14	1	10	5	30	30	1	1	-1	-1	dead_nonsquare_unit		
CD	-	15	29	1	14	17	30	1	15	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	15	29	1	17	14	30	1	15	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	15	29	1	17	17	1	10	5	30	30	1	1	-1	-1	dead_nonsquare_unit		
BD	-	15	30	2	14	14	1	18	0	9	0	1	0	1	0	deep_zero_factor	10,10	1,1
BD	+	15	30	2	14	17	30	8	28	3	28	1	1	-1	1	dead_nonsquare_unit		
BD	+	15	30	2	17	14	30	8	28	3	28	1	1	-1	1	dead_nonsquare_unit		
BD	-	15	30	2	17	17	1	18	0	9	0	1	0	1	0	deep_zero_factor	10,10	1,1
BD	+	16	1	2	14	14	1	28	9	14	9	1	1	1	1	resolved_unit_square		
BD	-	16	1	2	14	17	30	1	0	15	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	16	1	2	17	14	30	1	0	15	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	16	1	2	17	17	1	28	9	14	9	1	1	1	1	resolved_unit_square		
CD	+	16	2	1	14	14	1	28	14	9	9	1	1	1	1	resolved_unit_square		
CD	-	16	2	1	14	17	30	1	15	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	16	2	1	17	14	30	1	15	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	16	2	1	17	17	1	28	14	9	9	1	1	1	1	resolved_unit_square		
BC	+	16	8	8	3	8	13	13	1	1	4	-1	1	1	1	dead_nonsquare_unit		
BC	+	16	8	8	3	23	18	27	16	16	17	-1	1	1	-1	dead_nonsquare_unit		
BC	+	16	8	8	28	8	18	27	16	16	17	-1	1	1	-1	dead_nonsquare_unit		
BC	+	16	8	8	28	23	13	13	1	1	4	-1	1	1	1	dead_nonsquare_unit		
BC	+	16	23	23	3	8	13	29	5	5	1	-1	1	1	1	dead_nonsquare_unit		
BC	+	16	23	23	3	23	18	3	10	10	6	-1	1	1	-1	dead_nonsquare_unit		
BC	+	16	23	23	28	8	18	3	10	10	6	-1	1	1	-1	dead_nonsquare_unit		
BC	+	16	23	23	28	23	13	29	5	5	1	-1	1	1	1	dead_nonsquare_unit		
CD	-	16	29	30	14	14	1	18	9	0	0	1	1	0	0	deep_zero_factor	21,21	-1,-1
CD	+	16	29	30	14	17	30	25	27	3	3	1	-1	-1	-1	dead_nonsquare_unit		
CD	+	16	29	30	17	14	30	25	27	3	3	1	-1	-1	-1	dead_nonsquare_unit		
CD	-	16	29	30	17	17	1	18	9	0	0	1	1	0	0	deep_zero_factor	21,21	-1,-1
BD	-	16	30	29	14	14	1	18	0	9	0	1	0	1	0	deep_zero_factor	21,21	-1,-1
BD	+	16	30	29	14	17	30	25	3	27	3	1	-1	-1	-1	dead_nonsquare_unit		
BD	+	16	30	29	17	14	30	25	3	27	3	1	-1	-1	-1	dead_nonsquare_unit		
BD	-	16	30	29	17	17	1	18	0	9	0	1	0	1	0	deep_zero_factor	21,21	-1,-1
BD	+	17	1	11	6	6	1	30	29	22	29	-1	-1	-1	-1	dead_nonsquare_unit		
BD	-	17	1	11	6	25	30	6	0	8	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	17	1	11	25	6	30	6	0	8	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	17	1	11	25	25	1	30	29	22	29	-1	-1	-1	-1	dead_nonsquare_unit		
CD	+	17	11	1	6	6	1	30	22	29	29	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	17	11	1	6	25	30	6	8	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	17	11	1	25	6	30	6	8	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	17	11	1	25	25	1	30	22	29	29	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	17	20	30	6	6	1	19	16	0	0	1	1	0	0	deep_zero_factor	18,18	1,1
CD	+	17	20	30	6	25	30	10	13	19	19	1	-1	1	1	dead_nonsquare_unit		
CD	+	17	20	30	25	6	30	10	13	19	19	1	-1	1	1	dead_nonsquare_unit		
CD	-	17	20	30	25	25	1	19	16	0	0	1	1	0	0	deep_zero_factor	18,18	1,1
BD	-	17	30	20	6	6	1	19	0	16	0	1	0	1	0	deep_zero_factor	18,18	1,1
BD	+	17	30	20	6	25	30	10	19	13	19	1	1	-1	1	dead_nonsquare_unit		
BD	+	17	30	20	25	6	30	10	19	13	19	1	1	-1	1	dead_nonsquare_unit		
BD	-	17	30	20	25	25	1	19	0	16	0	1	0	1	0	deep_zero_factor	18,18	1,1
BD	+	18	1	19	1	1	1	21	16	30	16	-1	1	-1	1	dead_nonsquare_unit		
BD	-	18	1	19	1	30	30	9	0	27	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	18	1	19	30	1	30	9	0	27	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	18	1	19	30	30	1	21	16	30	16	-1	1	-1	1	dead_nonsquare_unit		
CD	-	18	12	30	1	1	1	14	20	0	0	1	1	0	0	deep_zero_factor	16,16	1,1
CD	+	18	12	30	1	30	30	6	5	2	2	-1	1	1	1	dead_nonsquare_unit		
CD	+	18	12	30	30	1	30	6	5	2	2	-1	1	1	1	dead_nonsquare_unit		
CD	-	18	12	30	30	30	1	14	20	0	0	1	1	0	0	deep_zero_factor	16,16	1,1
CD	+	18	19	1	1	1	1	21	30	16	16	-1	-1	1	1	dead_nonsquare_unit		
CD	-	18	19	1	1	30	30	9	27	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	18	19	1	30	1	30	9	27	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	18	19	1	30	30	1	21	30	16	16	-1	-1	1	1	dead_nonsquare_unit		
BD	-	18	30	12	1	1	1	14	0	20	0	1	0	1	0	deep_zero_factor	16,16	1,1
BD	+	18	30	12	1	30	30	6	2	5	2	-1	1	1	1	dead_nonsquare_unit		
BD	+	18	30	12	30	1	30	6	2	5	2	-1	1	1	1	dead_nonsquare_unit		
BD	-	18	30	12	30	30	1	14	0	20	0	1	0	1	0	deep_zero_factor	16,16	1,1
BD	+	19	1	18	1	1	1	30	16	21	16	-1	1	-1	1	dead_nonsquare_unit		
BD	-	19	1	18	1	30	30	27	0	9	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	19	1	18	30	1	30	27	0	9	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	19	1	18	30	30	1	30	16	21	16	-1	1	-1	1	dead_nonsquare_unit		
CD	-	19	13	30	1	1	1	20	14	0	0	1	1	0	0	deep_zero_factor	15,15	-1,-1
CD	+	19	13	30	1	30	30	18	12	29	29	1	-1	-1	-1	dead_nonsquare_unit		
CD	+	19	13	30	30	1	30	18	12	29	29	1	-1	-1	-1	dead_nonsquare_unit		
CD	-	19	13	30	30	30	1	20	14	0	0	1	1	0	0	deep_zero_factor	15,15	-1,-1
CD	+	19	18	1	1	1	1	30	21	16	16	-1	-1	1	1	dead_nonsquare_unit		
CD	-	19	18	1	1	30	30	27	9	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	19	18	1	30	1	30	27	9	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	19	18	1	30	30	1	30	21	16	16	-1	-1	1	1	dead_nonsquare_unit		
BD	-	19	30	13	1	1	1	20	0	14	0	1	0	1	0	deep_zero_factor	15,15	-1,-1
BD	+	19	30	13	1	30	30	18	29	12	29	1	-1	-1	-1	dead_nonsquare_unit		
BD	+	19	30	13	30	1	30	18	29	12	29	1	-1	-1	-1	dead_nonsquare_unit		
BD	-	19	30	13	30	30	1	20	0	14	0	1	0	1	0	deep_zero_factor	15,15	-1,-1
BD	+	20	1	14	6	6	1	17	10	26	10	-1	1	-1	1	dead_nonsquare_unit		
BD	-	20	1	14	6	25	30	8	0	6	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	20	1	14	25	6	30	8	0	6	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	20	1	14	25	25	1	17	10	26	10	-1	1	-1	1	dead_nonsquare_unit		
CD	+	20	14	1	6	6	1	17	26	10	10	-1	-1	1	1	dead_nonsquare_unit		
CD	-	20	14	1	6	25	30	8	6	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	20	14	1	25	6	30	8	6	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	20	14	1	25	25	1	17	26	10	10	-1	-1	1	1	dead_nonsquare_unit		
CD	-	20	17	30	6	6	1	16	19	0	0	1	1	0	0	deep_zero_factor	18,18	1,1
CD	+	20	17	30	6	25	30	13	10	19	19	-1	1	1	1	dead_nonsquare_unit		
CD	+	20	17	30	25	6	30	13	10	19	19	-1	1	1	1	dead_nonsquare_unit		
CD	-	20	17	30	25	25	1	16	19	0	0	1	1	0	0	deep_zero_factor	18,18	1,1
BD	-	20	30	17	6	6	1	16	0	19	0	1	0	1	0	deep_zero_factor	18,18	1,1
BD	+	20	30	17	6	25	30	13	19	10	19	-1	1	1	1	dead_nonsquare_unit		
BD	+	20	30	17	25	6	30	13	19	10	19	-1	1	1	1	dead_nonsquare_unit		
BD	-	20	30	17	25	25	1	16	0	19	0	1	0	1	0	deep_zero_factor	18,18	1,1
BD	+	21	1	3	13	13	1	28	21	5	21	1	-1	1	-1	dead_nonsquare_unit		
BD	-	21	1	3	13	18	30	17	0	18	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	21	1	3	18	13	30	17	0	18	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	21	1	3	18	18	1	28	21	5	21	1	-1	1	-1	dead_nonsquare_unit		
CD	+	21	3	1	13	13	1	28	5	21	21	1	1	-1	-1	dead_nonsquare_unit		
CD	-	21	3	1	13	18	30	17	18	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	21	3	1	18	13	30	17	18	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	21	3	1	18	18	1	28	5	21	21	1	1	-1	-1	dead_nonsquare_unit		
CD	-	21	28	30	13	13	1	5	2	0	0	1	1	0	0	deep_zero_factor	6,6	-1,-1
CD	+	21	28	30	13	18	30	13	4	26	26	-1	1	-1	-1	dead_nonsquare_unit		
CD	+	21	28	30	18	13	30	13	4	26	26	-1	1	-1	-1	dead_nonsquare_unit		
CD	-	21	28	30	18	18	1	5	2	0	0	1	1	0	0	deep_zero_factor	6,6	-1,-1
BD	-	21	30	28	13	13	1	5	0	2	0	1	0	1	0	deep_zero_factor	6,6	-1,-1
BD	+	21	30	28	13	18	30	13	26	4	26	-1	-1	1	-1	dead_nonsquare_unit		
BD	+	21	30	28	18	13	30	13	26	4	26	-1	-1	1	-1	dead_nonsquare_unit		
BD	-	21	30	28	18	18	1	5	0	2	0	1	0	1	0	deep_zero_factor	6,6	-1,-1
BD	+	22	1	24	2	2	1	9	3	2	3	1	-1	1	-1	dead_nonsquare_unit		
BD	-	22	1	24	2	29	30	19	0	13	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	22	1	24	29	2	30	19	0	13	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	22	1	24	29	29	1	9	3	2	3	1	-1	1	-1	dead_nonsquare_unit		
CD	-	22	7	30	2	2	1	14	10	0	0	1	1	0	0	deep_zero_factor	8,8	1,1
CD	+	22	7	30	2	29	30	2	23	4	4	1	-1	1	1	dead_nonsquare_unit		
CD	+	22	7	30	29	2	30	2	23	4	4	1	-1	1	1	dead_nonsquare_unit		
CD	-	22	7	30	29	29	1	14	10	0	0	1	1	0	0	deep_zero_factor	8,8	1,1
CD	+	22	24	1	2	2	1	9	2	3	3	1	1	-1	-1	dead_nonsquare_unit		
CD	-	22	24	1	2	29	30	19	13	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	22	24	1	29	2	30	19	13	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	22	24	1	29	29	1	9	2	3	3	1	1	-1	-1	dead_nonsquare_unit		
BD	-	22	30	7	2	2	1	14	0	10	0	1	0	1	0	deep_zero_factor	8,8	1,1
BD	+	22	30	7	2	29	30	2	4	23	4	1	1	-1	1	dead_nonsquare_unit		
BD	+	22	30	7	29	2	30	2	4	23	4	1	1	-1	1	dead_nonsquare_unit		
BD	-	22	30	7	29	29	1	14	0	10	0	1	0	1	0	deep_zero_factor	8,8	1,1
BD	+	23	1	27	4	4	1	23	11	29	11	-1	-1	-1	-1	dead_nonsquare_unit		
BD	-	23	1	27	4	27	30	3	0	7	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	23	1	27	27	4	30	3	0	7	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	23	1	27	27	27	1	23	11	29	11	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	23	4	30	4	4	1	1	8	0	0	1	1	0	0	deep_zero_factor	4,4	1,1
CD	+	23	4	30	4	27	30	19	11	8	8	1	-1	1	1	dead_nonsquare_unit		
CD	+	23	4	30	27	4	30	19	11	8	8	1	-1	1	1	dead_nonsquare_unit		
CD	-	23	4	30	27	27	1	1	8	0	0	1	1	0	0	deep_zero_factor	4,4	1,1
AB	-	23	8	15	3	8	13	0	0	9	28	0	0	1	1	deep_zero_factor	2,22	1,-1
AB	-	23	8	15	3	23	18	0	0	25	29	0	0	1	-1	dead_nonsquare_unit		
AB	-	23	8	15	28	8	18	0	0	25	29	0	0	1	-1	dead_nonsquare_unit		
AB	-	23	8	15	28	23	13	0	0	9	28	0	0	1	1	deep_zero_factor	2,22	1,-1
AC	-	23	15	8	3	8	13	0	9	0	28	0	1	0	1	deep_zero_factor	2,22	1,-1
AC	-	23	15	8	3	23	18	0	25	0	29	0	1	0	-1	dead_nonsquare_unit		
AC	-	23	15	8	28	8	18	0	25	0	29	0	1	0	-1	dead_nonsquare_unit		
AC	-	23	15	8	28	23	13	0	9	0	28	0	1	0	1	deep_zero_factor	2,22	1,-1
AC	+	23	16	23	3	8	13	5	29	5	1	1	-1	1	1	dead_nonsquare_unit		
AC	+	23	16	23	3	23	18	10	3	10	6	1	-1	1	-1	dead_nonsquare_unit		
AC	+	23	16	23	28	8	18	10	3	10	6	1	-1	1	-1	dead_nonsquare_unit		
AC	+	23	16	23	28	23	13	5	29	5	1	1	-1	1	1	dead_nonsquare_unit		
AB	+	23	23	16	3	8	13	5	5	29	1	1	1	-1	1	dead_nonsquare_unit		
AB	+	23	23	16	3	23	18	10	10	3	6	1	1	-1	-1	dead_nonsquare_unit		
AB	+	23	23	16	28	8	18	10	10	3	6	1	1	-1	-1	dead_nonsquare_unit		
AB	+	23	23	16	28	23	13	5	5	29	1	1	1	-1	1	dead_nonsquare_unit		
CD	+	23	27	1	4	4	1	23	29	11	11	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	23	27	1	4	27	30	3	7	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	23	27	1	27	4	30	3	7	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	23	27	1	27	27	1	23	29	11	11	-1	-1	-1	-1	dead_nonsquare_unit		
