family	n	d	parameter	status	jacobian_order
4	0	1	0	boundary	0
4	1	1	1	boundary	0
4	3	1	3	good_allowed	7680
4	6	1	6	good_allowed	6336
4	7	1	7	good_allowed	5952
4	8	1	8	good_allowed	5664
4	10	1	10	boundary	0
4	11	1	11	good_allowed	6240
4	14	1	14	good_allowed	6336
4	18	1	18	boundary	0
4	20	1	20	boundary	0
4	22	1	22	good_allowed	6336
4	26	1	26	good_allowed	6624
4	28	1	28	good_allowed	6240
4	29	1	29	good_allowed	6624
4	31	1	31	boundary	0
4	33	1	33	good_allowed	6048
4	34	1	34	good_allowed	6336
4	44	1	44	good_allowed	8448
4	45	1	45	boundary	0
4	47	1	47	good_allowed	7008
4	48	1	48	good_allowed	7008
4	49	1	49	good_allowed	5184
4	50	1	50	good_allowed	5952
4	56	1	56	good_allowed	7008
4	58	1	58	boundary	0
4	62	1	62	good_allowed	6624
4	63	1	63	good_allowed	6240
4	65	1	65	boundary	0
4	71	1	71	boundary	0
4	75	1	75	good_allowed	5664
4	78	1	78	boundary	0
4	1	0	infinity	boundary	0
