family	n	d	parameter	status	jacobian_order
4	0	1	0	boundary	0
4	1	1	1	boundary	0
4	4	1	4	good_allowed	25536
4	5	1	5	good_allowed	26688
4	7	1	7	good_allowed	26784
4	8	1	8	good_allowed	25152
4	12	1	12	boundary	0
4	13	1	13	good_allowed	30816
4	16	1	16	good_allowed	30912
4	18	1	18	good_allowed	25344
4	20	1	20	good_allowed	23040
4	22	1	22	good_allowed	26688
4	27	1	27	good_allowed	26400
4	28	1	28	good_allowed	27936
4	33	1	33	good_allowed	24672
4	34	1	34	good_allowed	26400
4	37	1	37	boundary	0
4	39	1	39	good_allowed	26496
4	40	1	40	good_allowed	23616
4	44	1	44	good_allowed	27360
4	46	1	46	good_allowed	25920
4	47	1	47	boundary	0
4	52	1	52	good_allowed	26112
4	53	1	53	good_allowed	24864
4	56	1	56	good_allowed	26688
4	57	1	57	boundary	0
4	58	1	58	good_allowed	26592
4	62	1	62	boundary	0
4	65	1	65	good_allowed	26784
4	69	1	69	good_allowed	26208
4	74	1	74	good_allowed	24192
4	76	1	76	good_allowed	25920
4	80	1	80	good_allowed	26400
4	81	1	81	good_allowed	23040
4	82	1	82	good_allowed	25920
4	83	1	83	good_allowed	25344
4	84	1	84	good_allowed	25824
4	96	1	96	good_allowed	22944
4	98	1	98	good_allowed	21888
4	100	1	100	good_allowed	24192
4	103	1	103	good_allowed	27840
4	104	1	104	good_allowed	28128
4	106	1	106	good_allowed	26784
4	108	1	108	good_allowed	26784
4	111	1	111	good_allowed	23040
4	114	1	114	good_allowed	28032
4	123	1	123	good_allowed	26400
4	124	1	124	good_allowed	25536
4	125	1	125	boundary	0
4	126	1	126	good_allowed	26784
4	127	1	127	good_allowed	27360
4	130	1	130	good_allowed	25824
4	132	1	132	good_allowed	26880
4	134	1	134	boundary	0
4	135	1	135	boundary	0
4	136	1	136	good_allowed	29376
4	137	1	137	good_allowed	26208
4	142	1	142	good_allowed	25152
4	144	1	144	good_allowed	20736
4	146	1	146	good_allowed	30912
4	148	1	148	good_allowed	26688
4	152	1	152	good_allowed	24192
4	154	1	154	good_allowed	26784
4	156	1	156	good_allowed	26592
4	162	1	162	boundary	0
4	1	0	infinity	boundary	0
