fiber	n	d	status	jacobian_order
t1_2	0	1	boundary	0
t1_2	1	1	boundary	0
t1_2	2	1	good_allowed	5760
t1_2	3	1	good_allowed	5760
t1_2	5	1	good_allowed	5760
t1_2	8	1	good_allowed	5760
t1_2	9	1	good_allowed	5760
t1_2	14	1	good_allowed	5760
t1_2	15	1	good_allowed	5760
t1_2	24	1	good_allowed	5760
t1_2	27	1	good_allowed	5760
t1_2	32	1	good_allowed	5760
t1_2	33	1	good_allowed	5760
t1_2	34	1	good_allowed	5760
t1_2	36	1	good_allowed	5760
t1_2	39	1	boundary	0
t1_2	42	1	good_allowed	5760
t1_2	44	1	good_allowed	5760
t1_2	45	1	good_allowed	5760
t1_2	46	1	good_allowed	5760
t1_2	51	1	good_allowed	5760
t1_2	52	1	boundary	0
t1_2	54	1	good_allowed	5760
t1_2	55	1	boundary	0
t1_2	58	1	boundary	0
t1_2	65	1	good_allowed	5760
t1_2	66	1	boundary	0
t1_2	1	0	boundary	0
t2_3	0	1	boundary	0
t2_3	1	1	boundary	0
t2_3	2	1	good_allowed	4608
t2_3	8	1	good_allowed	4608
t2_3	11	1	boundary	0
t2_3	16	1	good_allowed	4608
t2_3	21	1	good_allowed	4608
t2_3	22	1	good_allowed	4608
t2_3	25	1	good_allowed	4608
t2_3	32	1	good_allowed	4608
t2_3	33	1	good_allowed	4608
t2_3	34	1	good_allowed	4608
t2_3	36	1	boundary	0
t2_3	39	1	good_allowed	4608
t2_3	40	1	good_allowed	4608
t2_3	42	1	good_allowed	4608
t2_3	44	1	good_allowed	4608
t2_3	46	1	good_allowed	4608
t2_3	51	1	good_allowed	4608
t2_3	54	1	boundary	0
t2_3	55	1	good_allowed	4608
t2_3	59	1	good_allowed	4608
t2_3	61	1	boundary	0
t2_3	62	1	good_allowed	4608
t2_3	64	1	good_allowed	4608
t2_3	65	1	good_allowed	4608
t2_3	66	1	boundary	0
t2_3	1	0	boundary	0
