family	n	d	parameter	status	jacobian_order
1	0	1	0	boundary	0
1	1	1	1	boundary	0
1	3	1	3	good_allowed	12288
1	5	1	5	good_allowed	14208
1	7	1	7	good_allowed	11520
1	8	1	8	good_allowed	12480
1	11	1	11	good_allowed	12288
1	12	1	12	good_allowed	13824
1	13	1	13	good_allowed	12480
1	14	1	14	good_allowed	11520
1	15	1	15	good_allowed	11520
1	18	1	18	good_allowed	14208
1	23	1	23	good_allowed	10752
1	25	1	25	good_allowed	12480
1	26	1	26	good_allowed	13824
1	28	1	28	good_allowed	12288
1	30	1	30	good_allowed	13824
1	32	1	32	good_allowed	10752
1	38	1	38	good_allowed	12288
1	40	1	40	good_allowed	12288
1	44	1	44	good_allowed	14208
1	46	1	46	good_allowed	13824
1	47	1	47	good_allowed	12288
1	49	1	49	good_allowed	13824
1	51	1	51	good_allowed	13824
1	53	1	53	good_allowed	10752
1	56	1	56	boundary	0
1	59	1	59	good_allowed	10752
1	61	1	61	good_allowed	13824
1	63	1	63	good_allowed	13824
1	65	1	65	good_allowed	12288
1	66	1	66	good_allowed	13824
1	68	1	68	good_allowed	14208
1	72	1	72	good_allowed	12288
1	74	1	74	good_allowed	12288
1	80	1	80	good_allowed	10752
1	82	1	82	good_allowed	13824
1	84	1	84	good_allowed	12288
1	86	1	86	good_allowed	13824
1	87	1	87	good_allowed	12480
1	89	1	89	good_allowed	10752
1	94	1	94	good_allowed	14208
1	97	1	97	good_allowed	11520
1	98	1	98	good_allowed	11520
1	99	1	99	good_allowed	12480
1	100	1	100	good_allowed	13824
1	101	1	101	good_allowed	12288
1	104	1	104	good_allowed	12480
1	105	1	105	good_allowed	11520
1	107	1	107	good_allowed	14208
1	109	1	109	good_allowed	12288
1	111	1	111	boundary	0
1	112	1	112	boundary	0
1	1	0	infinity	boundary	0
2	0	1	0	boundary	0
2	1	1	1	boundary	0
2	2	1	2	good_allowed	14784
2	4	1	4	good_allowed	11520
2	5	1	5	good_allowed	11520
2	8	1	8	good_allowed	11520
2	12	1	12	good_allowed	11520
2	14	1	14	good_allowed	11520
2	15	1	15	boundary	0
2	24	1	24	good_allowed	13248
2	27	1	27	good_allowed	11520
2	28	1	28	good_allowed	11520
2	29	1	29	good_allowed	12288
2	33	1	33	good_allowed	13248
2	35	1	35	good_allowed	13248
2	37	1	37	good_allowed	10368
2	39	1	39	good_allowed	12288
2	42	1	42	good_allowed	13248
2	45	1	45	good_allowed	11520
2	46	1	46	good_allowed	11520
2	47	1	47	good_allowed	11520
2	55	1	55	good_allowed	10368
2	56	1	56	good_allowed	14784
2	57	1	57	good_allowed	14784
2	58	1	58	good_allowed	10368
2	66	1	66	good_allowed	11520
2	67	1	67	good_allowed	11520
2	68	1	68	good_allowed	11520
2	71	1	71	good_allowed	13248
2	74	1	74	good_allowed	12288
2	76	1	76	good_allowed	10368
2	78	1	78	good_allowed	13248
2	80	1	80	good_allowed	13248
2	84	1	84	good_allowed	12288
2	85	1	85	good_allowed	11520
2	86	1	86	good_allowed	11520
2	89	1	89	good_allowed	13248
2	98	1	98	boundary	0
2	99	1	99	good_allowed	11520
2	101	1	101	good_allowed	11520
2	105	1	105	good_allowed	11520
2	108	1	108	good_allowed	11520
2	109	1	109	good_allowed	11520
2	111	1	111	good_allowed	14784
2	112	1	112	boundary	0
2	1	0	infinity	boundary	0
3	0	1	0	boundary	0
3	1	1	1	boundary	0
3	2	1	2	good_allowed	12288
3	3	1	3	good_allowed	12288
3	4	1	4	good_allowed	12288
3	6	1	6	good_allowed	12288
3	7	1	7	good_allowed	13440
3	9	1	9	good_allowed	10752
3	11	1	11	good_allowed	10752
3	13	1	13	good_allowed	13440
3	15	1	15	boundary	0
3	16	1	16	good_allowed	13440
3	17	1	17	good_allowed	13440
3	18	1	18	good_allowed	10752
3	19	1	19	good_allowed	12288
3	20	1	20	good_allowed	13440
3	22	1	22	good_allowed	12288
3	24	1	24	good_allowed	12288
3	25	1	25	good_allowed	10752
3	26	1	26	good_allowed	13440
3	27	1	27	good_allowed	10752
3	28	1	28	good_allowed	12288
3	29	1	29	good_allowed	13440
3	33	1	33	good_allowed	12288
3	36	1	36	good_allowed	12288
3	38	1	38	good_allowed	12288
3	39	1	39	good_allowed	13440
3	41	1	41	good_allowed	10752
3	44	1	44	good_allowed	10752
3	46	1	46	good_allowed	10752
3	50	1	50	boundary	0
3	52	1	52	boundary	0
3	56	1	56	good_allowed	12288
3	57	1	57	good_allowed	12288
3	61	1	61	boundary	0
3	63	1	63	boundary	0
3	67	1	67	good_allowed	10752
3	69	1	69	good_allowed	10752
3	72	1	72	good_allowed	10752
3	74	1	74	good_allowed	13440
3	75	1	75	good_allowed	12288
3	77	1	77	good_allowed	12288
3	80	1	80	good_allowed	12288
3	84	1	84	good_allowed	13440
3	85	1	85	good_allowed	12288
3	86	1	86	good_allowed	10752
3	87	1	87	good_allowed	13440
3	88	1	88	good_allowed	10752
3	89	1	89	good_allowed	12288
3	91	1	91	good_allowed	12288
3	93	1	93	good_allowed	13440
3	94	1	94	good_allowed	12288
3	95	1	95	good_allowed	10752
3	96	1	96	good_allowed	13440
3	97	1	97	good_allowed	13440
3	98	1	98	boundary	0
3	100	1	100	good_allowed	13440
3	102	1	102	good_allowed	10752
3	104	1	104	good_allowed	10752
3	106	1	106	good_allowed	13440
3	107	1	107	good_allowed	12288
3	109	1	109	good_allowed	12288
3	110	1	110	good_allowed	12288
3	111	1	111	good_allowed	12288
3	112	1	112	boundary	0
3	1	0	infinity	boundary	0
