family	n	d	parameter	status	jacobian_order
1	0	1	0	boundary	0
1	1	1	1	boundary	0
1	2	1	2	boundary	0
1	4	1	4	good_allowed	9792
1	17	1	17	good_allowed	10752
1	18	1	18	good_allowed	9792
1	23	1	23	good_allowed	9792
1	26	1	26	good_allowed	10752
1	27	1	27	good_allowed	9792
1	32	1	32	boundary	0
1	35	1	35	boundary	0
1	38	1	38	good_allowed	9792
1	40	1	40	good_allowed	10752
1	45	1	45	good_allowed	9792
1	47	1	47	boundary	0
1	48	1	48	boundary	0
1	49	1	49	boundary	0
1	51	1	51	good_allowed	9792
1	56	1	56	good_allowed	10752
1	58	1	58	good_allowed	9792
1	61	1	61	boundary	0
1	64	1	64	boundary	0
1	69	1	69	good_allowed	9792
1	70	1	70	good_allowed	10752
1	73	1	73	good_allowed	9792
1	78	1	78	good_allowed	9792
1	79	1	79	good_allowed	10752
1	92	1	92	good_allowed	9792
1	94	1	94	boundary	0
1	95	1	95	boundary	0
1	96	1	96	boundary	0
1	1	0	infinity	boundary	0
2	0	1	0	boundary	0
2	1	1	1	boundary	0
2	3	1	3	boundary	0
2	4	1	4	good_allowed	9408
2	6	1	6	boundary	0
2	9	1	9	good_allowed	8640
2	10	1	10	good_allowed	9216
2	11	1	11	good_allowed	9408
2	16	1	16	boundary	0
2	19	1	19	good_allowed	8064
2	22	1	22	boundary	0
2	24	1	24	good_allowed	9408
2	25	1	25	good_allowed	11136
2	26	1	26	good_allowed	9216
2	29	1	29	good_allowed	9216
2	31	1	31	good_allowed	11136
2	32	1	32	boundary	0
2	33	1	33	good_allowed	11136
2	35	1	35	boundary	0
2	36	1	36	boundary	0
2	41	1	41	good_allowed	9216
2	43	1	43	good_allowed	8640
2	44	1	44	good_allowed	9408
2	46	1	46	good_allowed	8064
2	47	1	47	good_allowed	11136
2	50	1	50	good_allowed	11136
2	51	1	51	good_allowed	8064
2	53	1	53	good_allowed	9408
2	54	1	54	good_allowed	8640
2	56	1	56	good_allowed	9216
2	61	1	61	boundary	0
2	62	1	62	boundary	0
2	64	1	64	good_allowed	11136
2	65	1	65	boundary	0
2	66	1	66	good_allowed	11136
2	68	1	68	good_allowed	9216
2	71	1	71	good_allowed	9216
2	72	1	72	good_allowed	11136
2	73	1	73	good_allowed	9408
2	75	1	75	boundary	0
2	78	1	78	good_allowed	8064
2	81	1	81	boundary	0
2	86	1	86	good_allowed	9408
2	87	1	87	good_allowed	9216
2	88	1	88	good_allowed	8640
2	91	1	91	boundary	0
2	93	1	93	good_allowed	9408
2	94	1	94	boundary	0
2	96	1	96	boundary	0
2	1	0	infinity	boundary	0
3	0	1	0	boundary	0
3	1	1	1	boundary	0
3	2	1	2	good_allowed	7680
3	3	1	3	good_allowed	7680
3	4	1	4	good_allowed	7680
3	5	1	5	good_allowed	10752
3	6	1	6	good_allowed	10752
3	8	1	8	good_allowed	10752
3	9	1	9	good_allowed	9216
3	10	1	10	good_allowed	10752
3	12	1	12	good_allowed	10752
3	13	1	13	boundary	0
3	15	1	15	boundary	0
3	16	1	16	good_allowed	10752
3	18	1	18	good_allowed	10752
3	19	1	19	good_allowed	9216
3	20	1	20	good_allowed	7680
3	21	1	21	good_allowed	10752
3	22	1	22	boundary	0
3	23	1	23	good_allowed	9216
3	24	1	24	good_allowed	7680
3	27	1	27	good_allowed	10752
3	28	1	28	good_allowed	10752
3	29	1	29	good_allowed	10752
3	30	1	30	good_allowed	9216
3	32	1	32	good_allowed	7680
3	33	1	33	good_allowed	10752
3	34	1	34	good_allowed	7680
3	37	1	37	good_allowed	10752
3	38	1	38	good_allowed	9216
3	39	1	39	good_allowed	10752
3	42	1	42	good_allowed	9216
3	43	1	43	good_allowed	9216
3	45	1	45	good_allowed	10752
3	46	1	46	good_allowed	9216
3	47	1	47	good_allowed	10752
3	48	1	48	good_allowed	7680
3	49	1	49	good_allowed	7680
3	50	1	50	good_allowed	10752
3	51	1	51	good_allowed	9216
3	52	1	52	good_allowed	10752
3	54	1	54	good_allowed	9216
3	55	1	55	good_allowed	9216
3	58	1	58	good_allowed	10752
3	59	1	59	good_allowed	9216
3	60	1	60	good_allowed	10752
3	63	1	63	good_allowed	7680
3	64	1	64	good_allowed	10752
3	65	1	65	good_allowed	7680
3	67	1	67	good_allowed	9216
3	68	1	68	good_allowed	10752
3	69	1	69	good_allowed	10752
3	70	1	70	good_allowed	10752
3	73	1	73	good_allowed	7680
3	74	1	74	good_allowed	9216
3	75	1	75	boundary	0
3	76	1	76	good_allowed	10752
3	77	1	77	good_allowed	7680
3	78	1	78	good_allowed	9216
3	79	1	79	good_allowed	10752
3	81	1	81	good_allowed	10752
3	82	1	82	boundary	0
3	84	1	84	boundary	0
3	85	1	85	good_allowed	10752
3	87	1	87	good_allowed	10752
3	88	1	88	good_allowed	9216
3	89	1	89	good_allowed	10752
3	91	1	91	good_allowed	10752
3	92	1	92	good_allowed	10752
3	93	1	93	good_allowed	7680
3	94	1	94	good_allowed	7680
3	95	1	95	good_allowed	7680
3	96	1	96	boundary	0
3	1	0	infinity	boundary	0
