family	n	d	parameter	status	jacobian_order
1	0	1	0	boundary	0
1	1	1	1	boundary	0
1	2	1	2	good_allowed	1728
1	5	1	5	good_allowed	1536
1	6	1	6	boundary	0
1	7	1	7	good_allowed	1536
1	8	1	8	good_allowed	2304
1	9	1	9	good_allowed	1536
1	12	1	12	good_allowed	1536
1	14	1	14	good_allowed	1728
1	15	1	15	good_allowed	2304
1	16	1	16	good_allowed	1536
1	18	1	18	good_allowed	1536
1	19	1	19	good_allowed	2304
1	20	1	20	good_allowed	1728
1	21	1	21	boundary	0
1	22	1	22	good_allowed	1728
1	23	1	23	good_allowed	2304
1	24	1	24	good_allowed	1536
1	26	1	26	good_allowed	1536
1	27	1	27	good_allowed	2304
1	28	1	28	good_allowed	1728
1	30	1	30	good_allowed	1536
1	33	1	33	good_allowed	1536
1	34	1	34	good_allowed	2304
1	35	1	35	good_allowed	1536
1	36	1	36	boundary	0
1	37	1	37	good_allowed	1536
1	40	1	40	good_allowed	1728
1	41	1	41	boundary	0
1	42	1	42	boundary	0
1	1	0	infinity	boundary	0
2	0	1	0	boundary	0
2	1	1	1	boundary	0
2	6	1	6	boundary	0
2	7	1	7	boundary	0
2	9	1	9	good_allowed	1536
2	12	1	12	good_allowed	2304
2	15	1	15	good_allowed	1536
2	18	1	18	good_allowed	2304
2	19	1	19	good_allowed	1536
2	20	1	20	good_allowed	1536
2	23	1	23	good_allowed	1536
2	24	1	24	good_allowed	1536
2	25	1	25	good_allowed	2304
2	28	1	28	good_allowed	1536
2	31	1	31	good_allowed	2304
2	34	1	34	good_allowed	1536
2	36	1	36	boundary	0
2	37	1	37	boundary	0
2	42	1	42	boundary	0
2	1	0	infinity	boundary	0
3	0	1	0	boundary	0
3	1	1	1	boundary	0
3	2	1	2	good_allowed	2304
3	3	1	3	good_allowed	2304
3	5	1	5	good_allowed	1920
3	6	1	6	good_allowed	1536
3	7	1	7	good_allowed	1536
3	9	1	9	good_allowed	2304
3	10	1	10	good_allowed	1536
3	12	1	12	good_allowed	2304
3	13	1	13	good_allowed	1536
3	14	1	14	good_allowed	2304
3	15	1	15	good_allowed	1920
3	17	1	17	good_allowed	1920
3	18	1	18	good_allowed	2304
3	19	1	19	good_allowed	2304
3	20	1	20	good_allowed	1920
3	21	1	21	good_allowed	2304
3	22	1	22	good_allowed	2304
3	23	1	23	good_allowed	1920
3	24	1	24	good_allowed	2304
3	25	1	25	good_allowed	2304
3	26	1	26	good_allowed	1920
3	28	1	28	good_allowed	1920
3	29	1	29	good_allowed	2304
3	30	1	30	good_allowed	1536
3	31	1	31	good_allowed	2304
3	33	1	33	good_allowed	1536
3	34	1	34	good_allowed	2304
3	36	1	36	good_allowed	1536
3	37	1	37	good_allowed	1536
3	38	1	38	good_allowed	1920
3	40	1	40	good_allowed	2304
3	41	1	41	good_allowed	2304
3	42	1	42	boundary	0
3	1	0	infinity	boundary	0
