fiber	n	d	status	jacobian_order
t1_2	0	1	boundary	0
t1_2	1	1	boundary	0
t1_2	4	1	good_allowed	7680
t1_2	5	1	good_allowed	7680
t1_2	12	1	good_allowed	5760
t1_2	13	1	good_allowed	7680
t1_2	17	1	good_allowed	7680
t1_2	18	1	good_allowed	7680
t1_2	19	1	good_allowed	7680
t1_2	20	1	good_allowed	7680
t1_2	21	1	good_allowed	7680
t1_2	22	1	good_allowed	7680
t1_2	24	1	good_allowed	7680
t1_2	25	1	good_allowed	7680
t1_2	26	1	good_allowed	7680
t1_2	27	1	good_allowed	7680
t1_2	28	1	good_allowed	7680
t1_2	29	1	good_allowed	7680
t1_2	32	1	good_allowed	5760
t1_2	33	1	good_allowed	7680
t1_2	35	1	good_allowed	7680
t1_2	37	1	good_allowed	7680
t1_2	40	1	good_allowed	7680
t1_2	42	1	good_allowed	7680
t1_2	43	1	good_allowed	7680
t1_2	48	1	good_allowed	7680
t1_2	49	1	good_allowed	7680
t1_2	52	1	good_allowed	5760
t1_2	53	1	good_allowed	7680
t1_2	54	1	good_allowed	5760
t1_2	57	1	good_allowed	7680
t1_2	58	1	good_allowed	7680
t1_2	61	1	good_allowed	5760
t1_2	63	1	good_allowed	5760
t1_2	64	1	good_allowed	5760
t1_2	65	1	good_allowed	5760
t1_2	66	1	good_allowed	7680
t1_2	67	1	good_allowed	7680
t1_2	69	1	good_allowed	7680
t1_2	71	1	boundary	0
t1_2	75	1	good_allowed	7680
t1_2	77	1	good_allowed	7680
t1_2	84	1	boundary	0
t1_2	85	1	good_allowed	7680
t1_2	88	1	boundary	0
t1_2	1	0	boundary	0
t2_3	0	1	boundary	0
t2_3	1	1	boundary	0
t2_3	2	1	good_allowed	7680
t2_3	6	1	good_allowed	7680
t2_3	11	1	good_allowed	7680
t2_3	14	1	good_allowed	5760
t2_3	15	1	good_allowed	7680
t2_3	16	1	good_allowed	7680
t2_3	20	1	boundary	0
t2_3	22	1	good_allowed	7680
t2_3	25	1	good_allowed	7680
t2_3	28	1	good_allowed	7680
t2_3	35	1	good_allowed	7680
t2_3	36	1	good_allowed	7680
t2_3	38	1	good_allowed	7680
t2_3	39	1	good_allowed	7680
t2_3	40	1	good_allowed	7680
t2_3	41	1	good_allowed	7680
t2_3	44	1	good_allowed	5760
t2_3	45	1	good_allowed	7680
t2_3	46	1	good_allowed	5760
t2_3	47	1	good_allowed	7680
t2_3	49	1	boundary	0
t2_3	50	1	good_allowed	5760
t2_3	56	1	good_allowed	7680
t2_3	57	1	good_allowed	7680
t2_3	59	1	good_allowed	7680
t2_3	60	1	good_allowed	5760
t2_3	62	1	good_allowed	7680
t2_3	68	1	good_allowed	7680
t2_3	69	1	good_allowed	7680
t2_3	70	1	good_allowed	5760
t2_3	72	1	good_allowed	7680
t2_3	73	1	good_allowed	5760
t2_3	74	1	good_allowed	7680
t2_3	76	1	good_allowed	7680
t2_3	79	1	good_allowed	7680
t2_3	80	1	good_allowed	7680
t2_3	81	1	good_allowed	7680
t2_3	82	1	good_allowed	7680
t2_3	83	1	good_allowed	7680
t2_3	85	1	good_allowed	7680
t2_3	86	1	good_allowed	7680
t2_3	87	1	good_allowed	5760
t2_3	88	1	boundary	0
t2_3	1	0	boundary	0
